"participant","timestamp","OS","frameRate","ttotal","condition","rotation","used","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","consent","age","sex","bodylength_cm","handedness","device","cursorcontrol","needvisioncorrection","wearvisioncorrection","usedhand","reappearingcursor","comments"
"219265","2021-01-17_19h25.26.218","MacIntel",60,594.098475,5,60,TRUE,"2021-01-18 00:20:34","2021-01-18 00:36:37","IP Address",100,962,TRUE,"2021-01-18 00:36:37","I agree to participate in the study",18,"Female",165,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"219334","2021-01-17_21h54.31.697","Win32",60,490.784435,4,30,TRUE,"2021-01-18 02:45:53","2021-01-18 03:03:45","IP Address",100,1071,TRUE,"2021-01-18 03:03:45","I agree to participate in the study",20,"Female",153,"Right","Laptop","Trackpad","No",NA,"Right","Not sure",NA
"219382","2021-01-19_13h59.57.753","Win32",60,622.076635,3,30,TRUE,"2021-01-19 18:54:43","2021-01-19 19:11:09","IP Address",100,985,TRUE,"2021-01-19 19:11:09","I agree to participate in the study",18,"Female",164,"Right","Laptop","Trackpad","Yes","Yes","Right","Yes",NA
"219391","2021-01-16_19h03.58.120","MacIntel",60,496.065,0,30,TRUE,"2021-01-15 18:09:45","2021-01-17 00:13:17","IP Address",100,108211,TRUE,"2021-01-17 00:13:17","I agree to participate in the study",18,"Female",157,"Right","Laptop","Trackpad","Yes","Yes","Right","Yes",NA
"219430","2021-01-17_14h17.09.719","Win32",60,1052.250985,1,60,TRUE,"2021-01-17 19:12:32","2021-01-17 19:35:47","IP Address",100,1394,TRUE,"2021-01-17 19:35:47","I agree to participate in the study",19,"Female",166,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"219589","2021-01-20_20h21.01.376","Win32",60,548.23431,4,30,TRUE,"2021-01-21 01:12:16","2021-01-21 01:31:32","IP Address",100,1156,TRUE,"2021-01-21 01:31:32","I agree to participate in the study",21,"Female",160,"Right","Laptop","Mouse","No",NA,"Right","No",NA
"219847","2021-01-19_22h11.15.188","MacIntel",60,457.009755,4,30,TRUE,"2021-01-20 03:06:43","2021-01-20 03:19:57","IP Address",100,794,TRUE,"2021-01-20 03:19:57","I agree to participate in the study",26,"Other / prefer not to say",172,"Right","Laptop","Trackpad","Yes","Yes","Right","No",NA
"219919","2021-01-16_14h39.27.121","MacIntel",60,933.594665,1,60,TRUE,"2021-01-16 19:34:56","2021-01-16 19:57:55","IP Address",100,1378,TRUE,"2021-01-16 19:57:55","I agree to participate in the study",18,"Female",161,"Left","Laptop","Trackpad","Yes","Yes","Right","No","When there were about 120 ish trials left it became extremely difficult to control the black dot with my trackpad."
"219928","2021-01-17_16h35.43.133","MacIntel",60,495.73147,4,30,TRUE,"2021-01-17 21:33:31","2021-01-17 21:45:16","IP Address",100,705,TRUE,"2021-01-17 21:45:16","I agree to participate in the study",20,"Female",163,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"219934","2021-01-16_16h04.06.360","Win32",60,596.854505,1,30,TRUE,"2021-01-16 07:57:25","2021-01-16 08:16:23","IP Address",100,1138,TRUE,"2021-01-16 08:16:24","I agree to participate in the study",19,"Female",161,"Right","Laptop","Mouse","Yes","Yes","Right","Yes","No"
